ID_Reserva,Edad,Genero,Pais,Hotel,Tipo_Habitacion,Regimen,Canal_Reserva,Lead_Time_Dias,Mes_Llegada,Noches,Adultos,Ninos,Precio_Noche_EUR,Reservas_Previas,Cancelaciones_Previas,Tiene_Parking,Peticiones_Especiales,Tipo_Deposito,Cancelado
100001,36.0,Female,España,Palladium Mallorca,Standard,Desayuno,Agencia online,77.0,6,4,2,0,134.64,3,2,Sí,0.0,Reembolsable,0
100002,24.0,Male,Francia,Palladium Mallorca,Junior Suite,Desayuno,Web directa,7.0,9,3,1,0,,1,0,NO,0.0,Sin depósito,0
100003,46.0,Male,España,Palladium Riviera Maya,Standard,Todo incluido,Web directa,64.0,8,14,2,3,142.04,7,1,Sí,0.0,Sin depósito,1
100004,42.0,Male,Países Bajos,Palladium Mallorca,Standard,Desayuno,Walk-in,3.0,4,3,2,0,160.59,1,1,Sí,2.0,Sin depósito,0
100005,61.0,Female,EEUU,Palladium Costa Mujeres,Standard,Todo incluido,Web directa,34.0,8,2,2,0,150.49,1,0,Sí,0.0,No reembolsable,0
100006,46.0,Female,España,Palladium Mallorca,Junior Suite,Todo incluido,Agencia tradicional,96.0,7,7,2,1,227.96,0,0,No,0.0,Sin depósito,0
100007,31.0,Male,Portugal,Palladium Riviera Maya,Standard,Solo alojamiento,Walk-in,47.0,1,5,1,0,131.16,2,0,No,4.0,Sin depósito,0
100008,21.0,Female,Alemania,Palladium Mallorca,Standard,Media pensión,Agencia online,34.0,7,1,1,0,118.04,0,0,No,0.0,Sin depósito,0
100009,50.0,Female,España,Palladium Tenerife,Standard,Solo alojamiento,Walk-in,92.0,6,3,2,3,91.5,0,0,No,0.0,No reembolsable,0
100010,38.0,Female,España,Palladium Ibiza,Standard,Solo alojamiento,Web directa,297.0,7,5,2,1,133.8,4,1,No,2.0,Sin depósito,0
100011,41.0,Female,España,Palladium Mallorca,Standard,Desayuno,Web directa,0.0,3,4,2,0,56.55,2,0,No,2.0,No reembolsable,0
100012,34.0,Male,España,Palladium Punta Cana,Villa,Todo incluido,Web directa,67.0,10,6,2,0,758.89,0,0,No,0.0,Reembolsable,0
100013,18.0,Male,Francia,Palladium Mallorca,Suite,Media pensión,Agencia online,211.0,8,2,1,0,381.33,1,0,No,0.0,Sin depósito,0
100014,54.0,Male,Francia,Palladium Costa Mujeres,Standard,Desayuno,Agencia online,26.0,9,4,2,0,118.34,2,0,No,0.0,Sin depósito,1
100015,48.0,Male,Portugal,Palladium Tenerife,Standard,Media pensión,Teléfono,166.0,3,2,3,0,146.78,3,0,No,0.0,No reembolsable,0
100016,45.0,Male,México,Palladium Ibiza,Junior Suite,Todo incluido,Web directa,13.0,8,4,2,2,220.87,3,0,No,0.0,Sin depósito,0
100017,51.0,Female,México,Palladium Ibiza,Standard,Todo incluido,Web directa,89.0,5,1,1,1,98.72,2,0,Sí,0.0,Sin depósito,0
100018,26.0,Female,México,Palladium Mallorca,Standard,Todo incluido,Web directa,63.0,4,4,2,1,115.06,1,0,No,4.0,Reembolsable,0
100019,68.0,Female,España,Palladium Punta Cana,Standard,Solo alojamiento,Web directa,74.0,9,4,2,1,97.73,1,0,,2.0,No reembolsable,0
100020,38.0,Male,EEUU,Palladium Punta Cana,Standard,Solo alojamiento,Agencia online,124.0,11,2,2,0,114.02,1,0,No,0.0,Sin depósito,1
100021,47.0,Male,Portugal,Palladium Riviera Maya,Standard,Todo incluido,Web directa,22.0,1,7,1,2,98.99,1,0,Sí,1.0,Reembolsable,1
100022,52.0,Female,Reino Unido,Palladium Punta Cana,Suite,Media pensión,Agencia online,60.0,9,5,1,0,366.61,0,0,No,0.0,No reembolsable,0
100023,18.0,Female,Francia,Palladium Tenerife,Standard,Media pensión,Agencia online,85.0,11,6,2,0,128.21,1,0,No,,Reembolsable,0
100024,64.0,Male,Francia,Palladium Costa Mujeres,Standard,Todo incluido,Agencia tradicional,2.0,7,6,1,0,,2,0,Sí,1.0,Sin depósito,0
100025,43.0,Female,España,Palladium Tenerife,Standard,Todo incluido,Agencia tradicional,31.0,8,5,2,2,92.59,1,0,No,2.0,Reembolsable,0
100026,20.0,Female,EEUU,Palladium Tenerife,Villa,Desayuno,Web directa,58.0,4,5,2,0,710.91,2,1,No,1.0,Sin depósito,1
100027,,Female,Argentina,Palladium Tenerife,Junior Suite,Media pensión,Web directa,28.0,11,1,1,0,230.79,3,0,No,2.0,Sin depósito,0
100028,77.0,Female,España,Palladium Ibiza,Standard,Todo incluido,Agencia online,32.0,8,2,1,1,72.19,3,0,No,0.0,Reembolsable,0
100029,39.0,Male,España,Palladium Costa Mujeres,Standard,Desayuno,Web directa,78.0,9,3,2,2,,1,1,Sí,4.0,Reembolsable,0
100030,23.0,male,España,Palladium Tenerife,Suite,Desayuno,Web directa,96.0,8,4,2,1,346.72,2,0,No,0.0,Sin depósito,0
100031,40.0,Male,España,Palladium Ibiza,Standard,Desayuno,Teléfono,130.0,5,6,2,2,164.04,1,0,No,1.0,Reembolsable,0
100032,47.0,Male,Alemania,Palladium Tenerife,Junior Suite,Todo incluido,Agencia online,14.0,5,1,2,1,233.5,3,2,No,0.0,Sin depósito,1
100033,34.0,Male,Alemania,Palladium Tenerife,Standard,Desayuno,Web directa,44.0,8,4,2,0,135.17,0,0,No,0.0,Sin depósito,0
100034,34.0,Male,Alemania,Palladium Riviera Maya,Junior Suite,Media pensión,Walk-in,26.0,10,1,2,0,223.04,0,0,No,5.0,Sin depósito,0
100035,57.0,Male,Francia,Palladium Ibiza,Standard,Media pensión,Web directa,208.0,8,6,2,1,119.85,1,0,Sí,1.0,No reembolsable,0
100036,53.0,Female,Alemania,Palladium Ibiza,Standard,Todo incluido,Agencia online,22.0,8,4,2,1,122.8,6,1,Sí,4.0,Sin depósito,1
100037,42.0,Male,Reino Unido,Palladium Mallorca,Junior Suite,Desayuno,Agencia tradicional,6.0,9,10,2,0,174.5,2,0,Sí,1.0,Sin depósito,0
100038,41.0,Female,EEUU,Palladium Mallorca,Suite,Desayuno,Web directa,13.0,5,10,1,0,376.18,1,1,No,1.0,Reembolsable,0
100039,44.0,Male,Italia,Palladium Mallorca,Standard,Media pensión,Web directa,16.0,7,3,1,1,149.03,1,0,No,4.0,Sin depósito,0
100040,36.0,Female,España,Palladium Punta Cana,Standard,Todo incluido,Agencia online,4.0,7,4,2,1,109.19,0,0,No,2.0,Sin depósito,0
100041,42.0,Female,Argentina,Palladium Ibiza,Junior Suite,Desayuno,Agencia tradicional,0.0,4,10,2,0,172.83,3,0,No,1.0,Sin depósito,0
100042,44.0,Male,Argentina,Palladium Ibiza,Standard,Desayuno,Agencia tradicional,8.0,5,6,2,0,138.66,2,0,No,2.0,Sin depósito,0
100043,61.0,Female,España,Palladium Tenerife,Standard,Todo incluido,Agencia tradicional,31.0,8,2,2,0,137.04,2,0,No,0.0,Sin depósito,0
100044,27.0,Male,Reino Unido,Palladium Punta Cana,Standard,Todo incluido,Web directa,102.0,4,3,3,1,126.34,0,0,No,0.0,No reembolsable,1
100045,54.0,Female,España,Palladium Punta Cana,Junior Suite,Desayuno,Web directa,309.0,4,7,2,0,163.63,1,0,Sí,0.0,Reembolsable,0
100046,64.0,FEMALE,Italia,Palladium Mallorca,Junior Suite,Desayuno,Agencia online,124.0,9,2,2,0,147.76,6,1,,,No reembolsable,0
100047,,Female,Reino Unido,Palladium Mallorca,Standard,Desayuno,Agencia tradicional,60.0,9,6,1,1,130.71,1,0,Sí,0.0,Reembolsable,1
100048,44.0,Male,España,Palladium Mallorca,Standard,Media pensión,Agencia tradicional,108.0,8,1,1,0,89.7,2,0,,4.0,Sin depósito,0
100049,45.0,Female,España,Palladium Punta Cana,Standard,Solo alojamiento,Agencia online,49.0,8,7,2,2,,0,0,No,2.0,No reembolsable,0
100050,,Male,EEUU,Palladium Punta Cana,Standard,Desayuno,Web directa,100.0,7,7,2,0,97.23,2,0,No,0.0,Reembolsable,0
100051,36.0,Female,España,Palladium Mallorca,Standard,Todo incluido,Agencia online,7.0,6,4,1,0,148.85,0,0,Sí,2.0,Reembolsable,0
100052,29.0,Male,EEUU,Palladium Mallorca,Junior Suite,Solo alojamiento,Agencia tradicional,160.0,4,3,1,0,221.42,0,0,,2.0,Reembolsable,0
